product_id,date,store_id,current_stock,daily_demand,lead_time_days,supplier_reliability_score,promotion_active,weather_impact,stockout_risk
P1036,2024-02-06,S18,403,28,11,88,Yes,High,Yes
P1037,2024-02-07,S9,379,110,3,77,Yes,Low,No
P1038,2024-02-08,S2,352,77,4,79,Yes,High,No
P1039,2024-02-09,S20,89,30,2,73,No,Low,No
P1040,2024-02-10,S15,294,24,1,93,Yes,Medium,No
P1041,2024-02-11,S7,340,68,13,90,No,Low,No
P1042,2024-02-12,S12,244,108,14,99,Yes,Medium,No
P1043,2024-02-13,S8,432,14,8,77,Yes,Medium,No
P1044,2024-02-14,S15,191,87,1,89,No,Low,No
P1045,2024-02-15,S3,317,71,14,84,Yes,High,No
P1046,2024-02-16,S14,105,28,13,78,No,Medium,No
P1047,2024-02-17,S17,362,9,11,67,Yes,High,No
P1048,2024-02-18,S4,309,71,1,87,Yes,Low,No
P1049,2024-02-19,S18,381,62,4,67,Yes,Medium,No
P1050,2024-02-20,S8,232,31,10,90,No,High,Yes
P1051,2024-02-21,S4,264,84,12,62,Yes,Medium,Yes
P1052,2024-02-22,S2,343,117,10,62,No,Low,No
P1053,2024-02-23,S6,36,19,6,81,No,Medium,No
P1054,2024-02-24,S10,304,39,9,76,No,Low,No
P1055,2024-02-25,S4,40,80,1,95,No,High,No
P1056,2024-02-26,S18,16,109,7,76,No,Medium,No
P1057,2024-02-27,S12,343,57,10,73,No,High,Yes
P1058,2024-02-28,S2,276,48,11,68,Yes,Low,Yes
P1059,2024-02-29,S10,306,30,5,89,Yes,Low,No
P1060,2024-03-01,S4,58,51,12,80,Yes,High,Yes
P1061,2024-03-02,S14,422,38,8,71,Yes,High,Yes
P1062,2024-03-03,S16,182,91,14,96,Yes,Low,No
P1063,2024-03-04,S15,40,99,7,91,No,High,Yes
P1064,2024-03-05,S8,38,54,4,70,No,Low,No
P1065,2024-03-06,S14,396,88,4,79,No,High,No
P1066,2024-03-07,S8,191,16,6,94,Yes,Low,No
P1067,2024-03-08,S16,266,91,6,70,Yes,Low,No
P1068,2024-03-09,S13,493,8,9,67,No,Medium,No
P1069,2024-03-10,S18,146,91,12,63,No,Low,Yes
P1070,2024-03-11,S15,394,52,5,86,No,Low,Yes
P1071,2024-03-12,S13,332,59,8,99,No,Medium,No
P1072,2024-03-13,S9,126,116,5,97,No,Medium,Yes
P1073,2024-03-14,S15,45,5,2,89,No,High,Yes
P1074,2024-03-15,S13,44,93,6,86,Yes,High,No
P1075,2024-03-16,S1,0,70,9,80,No,Low,No
P1076,2024-03-17,S7,167,34,13,79,No,High,No
P1077,2024-03-18,S9,107,7,3,63,Yes,High,Yes
P1078,2024-03-19,S1,18,25,1,70,No,Low,No
P1079,2024-03-20,S12,331,93,1,72,No,Medium,No
P1080,2024-03-21,S8,71,88,13,68,No,Medium,Yes
P1081,2024-03-22,S11,455,53,3,63,Yes,Low,Yes
P1082,2024-03-23,S19,444,90,10,71,No,Low,No
P1083,2024-03-24,S17,108,89,5,68,No,Low,No
P1084,2024-03-25,S8,267,66,3,72,No,Low,No
P1085,2024-03-26,S3,444,101,9,85,Yes,Low,Yes
P1086,2024-03-27,S3,239,42,8,97,No,Low,No
P1087,2024-03-28,S1,416,19,3,72,No,High,No
P1088,2024-03-29,S5,300,114,9,98,No,High,Yes
P1089,2024-03-30,S10,89,56,13,87,Yes,High,Yes
P1090,2024-03-31,S7,102,83,6,78,No,Medium,No
P1091,2024-04-01,S9,475,50,13,83,No,Low,No
P1092,2024-04-02,S7,249,29,7,78,Yes,Low,No
P1093,2024-04-03,S9,452,25,4,72,No,High,No
P1094,2024-04-04,S8,7,92,4,72,No,Medium,No
P1095,2024-04-05,S12,152,9,12,87,Yes,High,No
P1096,2024-04-06,S2,346,74,13,61,No,Low,No
P1097,2024-04-07,S1,173,117,2,69,Yes,Low,No
P1098,2024-04-08,S16,342,111,5,81,No,High,No
P1099,2024-04-09,S5,157,116,8,72,No,High,No
P1100,2024-04-10,S3,492,112,7,68,No,Low,Yes
P1101,2024-04-11,S12,430,51,7,92,No,High,No
P1102,2024-04-12,S8,214,91,6,73,Yes,Low,Yes
P1103,2024-04-13,S3,176,72,3,79,No,High,No
P1104,2024-04-14,S1,174,95,5,74,No,Medium,No
P1105,2024-04-15,S3,339,22,13,91,No,Low,No
P1106,2024-04-16,S5,337,25,1,92,No,Medium,No
P1107,2024-04-17,S15,145,96,7,76,No,High,No
P1108,2024-04-18,S14,449,103,9,83,Yes,Medium,Yes
P1109,2024-04-19,S3,323,90,1,89,Yes,High,Yes
P1110,2024-04-20,S1,477,108,13,72,Yes,Medium,No
P1111,2024-04-21,S5,160,27,2,75,No,Medium,No
P1112,2024-04-22,S14,126,68,3,61,Yes,Medium,No
P1113,2024-04-23,S7,419,71,3,76,Yes,Low,No
P1114,2024-04-24,S9,81,44,8,91,No,Medium,Yes
P1115,2024-04-25,S15,484,118,7,67,Yes,High,No
P1116,2024-04-26,S15,146,14,6,62,No,High,No
P1117,2024-04-27,S10,238,93,10,71,Yes,Low,No
P1118,2024-04-28,S13,411,56,10,79,Yes,Low,No
P1119,2024-04-29,S19,423,117,11,75,No,High,Yes
P1120,2024-04-30,S7,83,76,4,73,Yes,Medium,No
P1121,2024-05-01,S17,112,79,9,75,No,High,Yes
P1122,2024-05-02,S20,224,65,1,92,No,Low,Yes
P1123,2024-05-03,S4,331,68,11,89,Yes,Low,No
P1124,2024-05-04,S5,377,9,2,71,Yes,High,No
P1125,2024-05-05,S7,242,113,14,74,No,Medium,No
P1126,2024-05-06,S13,142,57,4,77,Yes,Medium,No
P1127,2024-05-07,S15,40,59,3,87,Yes,Low,No
P1128,2024-05-08,S11,422,41,1,82,No,High,No
P1129,2024-05-09,S4,257,60,5,73,No,High,Yes
P1130,2024-05-10,S13,446,63,7,89,No,Low,No
P1131,2024-05-11,S7,284,113,2,92,No,High,No
P1132,2024-05-12,S19,104,106,5,74,No,Low,No
P1133,2024-05-13,S2,201,97,6,66,Yes,Medium,Yes
P1134,2024-05-14,S10,449,73,11,74,No,Medium,Yes
P1135,2024-05-15,S13,306,77,7,97,No,High,No
P1136,2024-05-16,S6,330,63,1,70,No,Medium,No
P1137,2024-05-17,S12,460,116,7,88,No,Medium,No
P1138,2024-05-18,S12,265,6,4,90,Yes,Low,No
P1139,2024-05-19,S20,397,69,8,84,Yes,Low,No
P1140,2024-05-20,S11,209,108,13,83,No,High,No
P1141,2024-05-21,S7,50,64,4,78,No,Low,No
P1142,2024-05-22,S1,117,55,6,61,Yes,High,Yes
P1143,2024-05-23,S1,200,34,9,81,Yes,High,No
P1144,2024-05-24,S20,376,15,5,79,No,Low,No
P1145,2024-05-25,S13,38,96,14,92,No,Medium,Yes
P1146,2024-05-26,S9,27,112,12,67,No,Medium,Yes
P1147,2024-05-27,S3,258,80,4,84,No,Medium,Yes
P1148,2024-05-28,S7,83,43,8,68,Yes,Medium,No
P1149,2024-05-29,S6,453,94,13,93,Yes,High,No
P1150,2024-05-30,S8,154,81,9,82,No,Medium,No
P1151,2024-05-31,S9,116,76,4,64,No,High,No
P1152,2024-06-01,S5,1,67,3,84,Yes,Low,No
P1153,2024-06-02,S1,92,68,8,67,Yes,Low,Yes
P1154,2024-06-03,S19,165,65,14,75,No,High,Yes
P1155,2024-06-04,S10,386,58,5,74,No,Medium,No
P1156,2024-06-05,S12,399,96,2,60,No,High,No
P1157,2024-06-06,S15,349,98,10,81,Yes,Medium,No
P1158,2024-06-07,S9,295,77,9,62,No,Medium,No
P1159,2024-06-08,S20,257,107,3,97,No,High,No
P1160,2024-06-09,S17,80,99,12,73,No,High,No
P1161,2024-06-10,S17,424,62,2,95,No,Medium,Yes
P1162,2024-06-11,S20,267,89,1,77,No,High,No
P1163,2024-06-12,S12,418,60,14,77,No,Medium,Yes
P1164,2024-06-13,S7,234,115,8,62,No,High,No
P1165,2024-06-14,S2,320,38,11,69,No,Low,Yes
P1166,2024-06-15,S3,310,35,3,98,No,Medium,No
P1167,2024-06-16,S17,300,56,7,60,No,Low,No
P1168,2024-06-17,S5,462,93,1,86,No,High,No
P1169,2024-06-18,S17,473,80,1,86,No,Low,No
P1170,2024-06-19,S17,356,5,12,70,No,High,No
P1171,2024-06-20,S17,212,59,9,64,No,Medium,No
P1172,2024-06-21,S2,61,26,12,66,No,High,No
P1173,2024-06-22,S2,48,44,8,78,No,High,No
P1174,2024-06-23,S5,126,105,12,88,No,Medium,Yes
P1175,2024-06-24,S1,222,115,13,74,No,High,No
P1176,2024-06-25,S1,408,5,3,94,Yes,Medium,No
P1177,2024-06-26,S19,278,69,6,96,No,High,No
P1178,2024-06-27,S2,407,67,11,71,Yes,Medium,No
P1179,2024-06-28,S12,293,110,3,89,Yes,Low,Yes
P1180,2024-06-29,S6,283,58,13,79,No,High,No
P1181,2024-06-30,S4,276,46,12,96,Yes,High,No
P1182,2024-07-01,S11,437,25,4,62,Yes,High,Yes
P1183,2024-07-02,S17,106,83,1,68,Yes,Medium,No
P1184,2024-07-03,S6,145,85,5,98,Yes,High,No
P1185,2024-07-04,S5,419,26,1,85,No,Medium,Yes
P1186,2024-07-05,S20,98,42,13,61,No,High,Yes
P1187,2024-07-06,S2,428,103,1,82,No,Low,No
P1188,2024-07-07,S6,374,113,10,82,No,High,Yes
P1189,2024-07-08,S11,72,84,11,80,Yes,Low,No
P1190,2024-07-09,S16,436,12,11,75,Yes,Medium,No
P1191,2024-07-10,S16,485,66,14,68,No,Low,No
P1192,2024-07-11,S1,121,51,7,72,No,High,No
P1193,2024-07-12,S9,29,21,12,87,No,High,No
P1194,2024-07-13,S6,187,21,6,86,No,Medium,No
P1195,2024-07-14,S16,363,94,2,76,No,High,No
P1196,2024-07-15,S3,353,17,14,97,No,High,No
P1197,2024-07-16,S20,287,21,11,95,No,Medium,No
P1198,2024-07-17,S4,450,42,12,60,No,Medium,No
P1199,2024-07-18,S19,194,85,2,77,Yes,Low,Yes
P1200,2024-07-19,S3,155,116,11,68,No,Medium,No
P1201,2024-07-20,S19,171,82,7,72,No,High,No
P1202,2024-07-21,S20,334,49,1,99,No,Medium,No
P1203,2024-07-22,S7,40,10,13,74,No,High,Yes
P1204,2024-07-23,S20,62,39,2,63,Yes,Low,No
P1205,2024-07-24,S9,22,114,12,92,No,Medium,No
P1206,2024-07-25,S1,359,18,8,83,No,High,No
P1207,2024-07-26,S8,74,115,6,95,Yes,Medium,No
P1208,2024-07-27,S7,47,76,14,69,No,Medium,No
P1209,2024-07-28,S18,159,65,2,95,Yes,Medium,No
P1210,2024-07-29,S8,312,19,7,79,No,Medium,No
P1211,2024-07-30,S1,117,58,4,70,No,Low,Yes
P1212,2024-07-31,S11,99,31,2,71,No,High,No
P1213,2024-08-01,S18,379,17,12,77,Yes,Medium,Yes
P1214,2024-08-02,S10,416,117,6,89,No,High,No
P1215,2024-08-03,S3,407,35,11,96,No,Low,Yes
P1216,2024-08-04,S7,166,39,9,79,Yes,High,No
P1217,2024-08-05,S16,289,64,11,84,No,High,No
P1218,2024-08-06,S16,439,10,9,71,No,Low,No
P1219,2024-08-07,S20,155,73,14,80,Yes,Medium,No
P1220,2024-08-08,S17,420,90,8,84,No,High,No
P1221,2024-08-09,S2,6,62,3,70,No,High,Yes
P1222,2024-08-10,S1,195,53,3,68,No,Medium,No
P1223,2024-08-11,S16,420,27,2,84,No,Medium,No
P1224,2024-08-12,S12,55,93,5,94,Yes,High,Yes
P1225,2024-08-13,S5,320,38,14,91,No,Low,Yes
P1226,2024-08-14,S5,192,30,12,73,No,Medium,No
P1227,2024-08-15,S9,46,51,14,60,Yes,Medium,Yes
P1228,2024-08-16,S9,147,9,4,76,No,Low,No
P1229,2024-08-17,S3,274,94,7,84,No,High,Yes
P1230,2024-08-18,S19,156,24,4,67,No,Medium,No
P1231,2024-08-19,S16,201,10,9,64,Yes,High,Yes
P1232,2024-08-20,S16,443,74,12,64,No,High,No
P1233,2024-08-21,S3,401,63,12,94,Yes,High,No
P1234,2024-08-22,S20,475,68,2,78,No,Low,No
P1235,2024-08-23,S1,418,118,11,82,No,High,No
P1236,2024-08-24,S20,426,22,14,68,No,High,No
P1237,2024-08-25,S11,494,8,6,89,Yes,Medium,Yes
P1238,2024-08-26,S17,478,21,7,75,No,Medium,Yes
P1239,2024-08-27,S8,474,18,4,92,Yes,Low,Yes
P1240,2024-08-28,S4,125,82,13,61,Yes,Low,No
P1241,2024-08-29,S6,394,17,6,73,No,Medium,No
P1242,2024-08-30,S8,304,11,7,60,No,Medium,No
P1243,2024-08-31,S20,368,48,4,85,Yes,Low,No
P1244,2024-09-01,S3,293,19,8,84,Yes,High,No
P1245,2024-09-02,S16,63,23,9,75,No,Low,No
P1246,2024-09-03,S3,324,67,1,74,No,High,No
P1247,2024-09-04,S18,391,111,7,85,Yes,Medium,No
P1248,2024-09-05,S14,417,115,9,75,No,Medium,Yes
P1249,2024-09-06,S18,175,112,12,73,No,Medium,No
P1250,2024-09-07,S2,115,39,10,88,No,High,No
P1251,2024-09-08,S3,439,85,5,83,No,Low,No
P1252,2024-09-09,S16,203,39,12,74,Yes,High,No
P1253,2024-09-10,S9,485,23,2,78,No,Low,No
P1254,2024-09-11,S4,320,24,10,67,No,Low,No
P1255,2024-09-12,S1,30,104,6,93,No,Low,Yes
P1256,2024-09-13,S4,387,39,12,61,No,Medium,No
P1257,2024-09-14,S1,112,36,12,86,No,Low,No
P1258,2024-09-15,S14,364,52,7,69,Yes,Medium,No
P1259,2024-09-16,S16,433,48,2,94,Yes,Low,No
P1260,2024-09-17,S20,324,108,2,82,Yes,Low,Yes
P1261,2024-09-18,S8,413,28,10,67,No,Medium,No
P1262,2024-09-19,S7,375,65,14,87,No,Medium,No
P1263,2024-09-20,S3,343,21,12,82,No,High,No
P1264,2024-09-21,S17,442,75,10,63,Yes,Low,No
P1265,2024-09-22,S1,66,111,1,73,No,Medium,Yes
P1266,2024-09-23,S16,74,54,4,88,No,High,Yes
P1267,2024-09-24,S12,44,69,7,60,No,High,No
P1268,2024-09-25,S19,259,103,14,63,Yes,Medium,No
P1269,2024-09-26,S14,153,36,9,91,Yes,Low,No
P1270,2024-09-27,S6,154,40,3,92,No,High,No
P1271,2024-09-28,S6,429,17,12,85,No,Low,Yes
P1272,2024-09-29,S13,362,74,11,76,Yes,Low,Yes
P1273,2024-09-30,S19,447,62,7,98,No,High,No
P1274,2024-10-01,S8,474,18,7,82,Yes,Medium,No
P1275,2024-10-02,S2,233,41,7,91,No,Low,No
P1276,2024-10-03,S1,50,116,2,74,No,Medium,No
P1277,2024-10-04,S15,305,83,6,72,Yes,High,No
P1278,2024-10-05,S1,261,115,2,61,No,Low,Yes
P1279,2024-10-06,S5,314,72,6,78,No,Medium,No
P1280,2024-10-07,S16,124,44,13,83,Yes,Medium,Yes
P1281,2024-10-08,S19,398,63,10,83,No,Low,No
P1282,2024-10-09,S4,244,84,3,70,Yes,Medium,No
P1283,2024-10-10,S3,29,96,14,81,Yes,Medium,No
P1284,2024-10-11,S17,425,20,2,74,Yes,High,No
P1285,2024-10-12,S17,484,66,12,69,Yes,High,No
P1286,2024-10-13,S12,121,8,14,86,Yes,Medium,No
P1287,2024-10-14,S14,124,49,6,68,Yes,Medium,Yes
P1288,2024-10-15,S6,36,94,2,87,No,Low,Yes
P1289,2024-10-16,S3,169,32,5,60,Yes,High,No
P1290,2024-10-17,S9,123,100,2,76,No,Low,No
P1291,2024-10-18,S5,356,113,3,90,Yes,Medium,No
P1292,2024-10-19,S17,34,70,3,69,Yes,Low,Yes
P1293,2024-10-20,S14,86,35,6,96,Yes,Medium,No
P1294,2024-10-21,S3,133,7,6,88,No,High,Yes
P1295,2024-10-22,S1,195,12,10,77,No,High,No
P1296,2024-10-23,S20,273,28,3,97,No,Medium,No
P1297,2024-10-24,S1,200,19,3,98,Yes,High,No
P1298,2024-10-25,S3,368,47,13,65,No,Medium,No
P1299,2024-10-26,S18,284,35,12,99,Yes,Low,No
P1300,2024-10-27,S10,76,77,13,71,Yes,Medium,Yes
P1301,2024-10-28,S3,58,107,1,73,No,Low,No
P1302,2024-10-29,S8,430,49,7,69,No,Medium,Yes
P1303,2024-10-30,S14,125,70,13,79,No,High,No
P1304,2024-10-31,S18,499,12,8,74,Yes,Medium,No
P1305,2024-11-01,S15,400,75,2,90,No,Medium,No
P1306,2024-11-02,S2,108,112,4,66,No,Medium,No
P1307,2024-11-03,S10,223,119,10,69,No,High,Yes
P1308,2024-11-04,S2,495,107,7,69,Yes,Medium,No
P1309,2024-11-05,S17,277,110,8,98,Yes,High,No
P1310,2024-11-06,S8,67,61,1,87,No,Medium,No
P1311,2024-11-07,S1,68,84,4,89,No,Low,No
P1312,2024-11-08,S9,164,103,6,96,No,Medium,No
P1313,2024-11-09,S11,488,34,3,62,No,Low,No
P1314,2024-11-10,S16,304,78,5,74,Yes,High,No
P1315,2024-11-11,S7,396,106,10,80,No,High,Yes
P1316,2024-11-12,S10,161,22,9,96,No,Medium,No
P1317,2024-11-13,S3,364,118,11,71,Yes,High,No
P1318,2024-11-14,S18,341,73,13,63,Yes,Medium,No
P1319,2024-11-15,S13,308,97,3,68,No,High,No
P1320,2024-11-16,S7,378,43,5,98,No,Low,No
P1321,2024-11-17,S4,342,64,8,87,No,High,Yes
P1322,2024-11-18,S13,434,102,6,82,Yes,Low,Yes
P1323,2024-11-19,S20,386,47,4,99,No,Medium,Yes
P1324,2024-11-20,S1,41,49,8,81,Yes,Medium,No
P1325,2024-11-21,S8,353,27,11,83,No,Medium,No
P1326,2024-11-22,S14,415,73,3,85,No,Low,No
P1327,2024-11-23,S16,108,98,3,89,Yes,Medium,Yes
P1328,2024-11-24,S14,50,10,4,92,Yes,Medium,No
P1329,2024-11-25,S12,249,60,9,75,No,Low,No
P1330,2024-11-26,S19,496,114,5,81,No,High,No
P1331,2024-11-27,S15,340,112,8,77,Yes,Medium,No
P1332,2024-11-28,S2,429,8,6,66,No,High,No
P1333,2024-11-29,S2,382,97,3,85,No,High,No
P1334,2024-11-30,S19,491,27,8,67,Yes,Medium,No
P1335,2024-12-01,S17,20,10,12,65,No,Medium,No
P1336,2024-12-02,S20,299,36,9,89,No,Low,Yes
P1337,2024-12-03,S10,138,110,8,98,Yes,Low,No
P1338,2024-12-04,S6,358,22,13,82,No,Medium,No
P1339,2024-12-05,S15,323,19,4,91,Yes,High,Yes
P1340,2024-12-06,S11,498,44,14,81,No,Low,No
P1341,2024-12-07,S5,384,100,14,68,No,Low,No
P1342,2024-12-08,S1,91,77,13,90,No,Medium,Yes
P1343,2024-12-09,S8,446,105,11,66,No,Medium,No
P1344,2024-12-10,S12,279,78,6,68,Yes,Medium,No
P1345,2024-12-11,S12,124,88,1,72,No,Medium,No
P1346,2024-12-12,S5,482,10,4,62,No,Low,Yes
P1347,2024-12-13,S7,396,116,8,94,Yes,Low,No
P1348,2024-12-14,S4,110,67,1,92,No,Low,Yes
P1349,2024-12-15,S6,353,71,3,80,Yes,High,No
P1350,2024-12-16,S13,138,110,1,90,No,Low,Yes
P1351,2024-12-17,S20,483,15,9,93,Yes,Low,No
P1352,2024-12-18,S15,434,47,2,91,Yes,Medium,Yes
P1353,2024-12-19,S3,272,21,9,94,Yes,Low,Yes
P1354,2024-12-20,S8,98,100,13,74,No,Low,Yes
P1355,2024-12-21,S20,251,8,4,91,No,Low,No
P1356,2024-12-22,S16,337,67,2,65,No,Medium,No
P1357,2024-12-23,S13,103,72,4,80,Yes,Low,Yes
P1358,2024-12-24,S18,213,85,12,92,No,Low,No
P1359,2024-12-25,S10,248,45,11,91,No,High,No
P1360,2024-12-26,S19,151,87,11,78,No,High,No
P1361,2024-12-27,S17,249,9,10,92,Yes,High,Yes
P1362,2024-12-28,S19,274,36,6,87,Yes,High,No
P1363,2024-12-29,S5,164,90,11,90,No,Medium,No
P1364,2024-12-30,S9,486,74,7,80,Yes,High,No
P1365,2024-12-31,S12,340,39,3,93,Yes,Low,No
P1366,2025-01-01,S1,7,26,3,74,Yes,High,Yes
P1367,2025-01-02,S1,283,69,12,73,No,Medium,No
P1368,2025-01-03,S15,4,88,10,78,No,High,Yes
P1369,2025-01-04,S2,144,26,12,74,No,High,No
P1370,2025-01-05,S16,100,116,8,65,Yes,Medium,Yes
P1371,2025-01-06,S8,163,15,5,68,No,Medium,No
P1372,2025-01-07,S13,373,81,4,96,Yes,Medium,Yes
P1373,2025-01-08,S1,146,110,7,79,No,Medium,No
P1374,2025-01-09,S16,63,7,7,93,No,Medium,No
P1375,2025-01-10,S7,90,13,13,97,No,Medium,No
P1376,2025-01-11,S5,116,64,9,85,Yes,Low,Yes
P1377,2025-01-12,S3,353,80,9,77,Yes,High,No
P1378,2025-01-13,S12,266,91,5,87,No,High,No
P1379,2025-01-14,S16,309,18,13,68,No,Medium,No
P1380,2025-01-15,S19,172,101,12,91,Yes,Medium,Yes
P1381,2025-01-16,S5,46,22,13,65,No,Low,No
P1382,2025-01-17,S14,139,117,8,73,No,Low,No
P1383,2025-01-18,S5,245,109,10,87,No,Medium,No
P1384,2025-01-19,S15,148,77,1,83,No,Low,Yes
P1385,2025-01-20,S17,245,27,9,72,Yes,Low,Yes
P1386,2025-01-21,S14,394,78,8,71,Yes,Medium,Yes
P1387,2025-01-22,S20,486,87,6,78,Yes,Medium,No
P1388,2025-01-23,S5,475,51,13,80,No,Medium,No
P1389,2025-01-24,S12,4,73,3,86,Yes,Medium,No
P1390,2025-01-25,S16,464,51,3,78,No,High,No
P1391,2025-01-26,S16,183,91,8,83,Yes,High,No
P1392,2025-01-27,S7,19,34,5,85,Yes,Medium,No
P1393,2025-01-28,S4,424,29,10,87,No,Low,No
P1394,2025-01-29,S1,45,32,11,77,Yes,Medium,No
P1395,2025-01-30,S5,11,102,14,95,Yes,High,No
P1396,2025-01-31,S10,69,113,7,88,No,Low,No
P1397,2025-02-01,S5,16,116,5,76,Yes,High,No
P1398,2025-02-02,S4,370,115,8,63,Yes,Medium,No
P1399,2025-02-03,S2,146,29,10,88,Yes,High,No
P1400,2025-02-04,S20,153,78,10,63,No,High,Yes
P1401,2025-02-05,S10,303,82,4,69,No,High,No
P1402,2025-02-06,S19,107,110,2,84,No,Low,Yes
P1403,2025-02-07,S1,235,114,3,90,Yes,High,Yes
P1404,2025-02-08,S5,307,62,8,62,No,Low,No
P1405,2025-02-09,S13,351,98,11,61,No,Medium,No
P1406,2025-02-10,S4,69,45,13,84,No,Medium,No
P1407,2025-02-11,S16,182,29,7,65,Yes,High,No
P1408,2025-02-12,S16,249,82,13,85,No,Low,Yes
P1409,2025-02-13,S2,227,103,2,67,No,Medium,Yes
P1410,2025-02-14,S17,101,52,6,94,No,Low,No
P1411,2025-02-15,S20,74,102,9,86,Yes,Low,No
P1412,2025-02-16,S12,416,14,4,84,Yes,High,Yes
P1413,2025-02-17,S18,445,103,9,77,Yes,High,No
P1414,2025-02-18,S3,215,79,2,60,Yes,Low,No
P1415,2025-02-19,S1,406,15,2,98,No,Low,No
P1416,2025-02-20,S1,398,89,9,62,No,High,No
P1417,2025-02-21,S19,410,25,12,63,No,Low,No
P1418,2025-02-22,S11,202,90,7,96,Yes,High,No
P1419,2025-02-23,S5,191,49,7,74,Yes,Low,No
P1420,2025-02-24,S12,248,11,1,67,Yes,High,Yes
P1421,2025-02-25,S3,498,85,13,97,Yes,Low,No
P1422,2025-02-26,S1,241,68,11,78,No,High,No
P1423,2025-02-27,S1,464,68,6,85,Yes,Low,Yes
P1424,2025-02-28,S8,178,6,13,98,Yes,Medium,Yes
P1425,2025-03-01,S10,436,80,7,69,No,Medium,No
P1426,2025-03-02,S11,461,46,11,97,No,Low,No
P1427,2025-03-03,S12,218,86,14,73,No,Medium,No
P1428,2025-03-04,S13,81,58,6,78,No,Low,Yes
P1429,2025-03-05,S12,91,79,6,89,Yes,Low,No
P1430,2025-03-06,S14,434,20,2,64,No,Medium,No
P1431,2025-03-07,S2,174,117,6,90,Yes,Low,Yes
P1432,2025-03-08,S19,238,119,4,66,Yes,High,No
P1433,2025-03-09,S18,259,22,9,78,No,Low,Yes
P1434,2025-03-10,S3,390,103,12,90,Yes,Low,Yes
P1435,2025-03-11,S17,364,63,1,98,No,Medium,No
P1436,2025-03-12,S8,162,94,13,83,Yes,High,No
P1437,2025-03-13,S10,47,20,8,93,No,Low,Yes
P1438,2025-03-14,S2,328,10,5,82,No,Low,No
P1439,2025-03-15,S19,327,61,1,99,No,Low,No
P1440,2025-03-16,S9,115,112,4,65,No,Low,No
P1441,2025-03-17,S7,428,111,1,97,No,Low,No
P1442,2025-03-18,S4,336,51,6,95,Yes,Low,No
P1443,2025-03-19,S18,336,115,2,86,No,High,Yes
P1444,2025-03-20,S13,368,52,5,70,No,High,No
P1445,2025-03-21,S11,224,46,7,64,Yes,Low,Yes
P1446,2025-03-22,S4,351,80,2,76,No,Low,No
P1447,2025-03-23,S4,327,64,6,66,No,Medium,No
P1448,2025-03-24,S10,146,81,6,86,No,High,No
P1449,2025-03-25,S5,62,8,5,74,Yes,High,Yes
P1450,2025-03-26,S9,293,107,5,72,No,Low,No
P1451,2025-03-27,S3,322,6,14,70,Yes,High,No
P1452,2025-03-28,S17,442,94,3,85,Yes,High,No
P1453,2025-03-29,S3,324,63,10,81,No,Medium,No
P1454,2025-03-30,S16,12,31,10,87,No,Medium,No
P1455,2025-03-31,S4,430,31,11,83,No,High,No
P1456,2025-04-01,S18,493,83,12,88,Yes,High,No
P1457,2025-04-02,S17,188,76,2,68,Yes,High,No
